Junction,Date,Time,Direction,car,motorbike,bus,truck,total
0,01-11-2023,09:26:00,3,2,1,0,3,6
0,01-11-2023,09:26:00,4,1,0,0,0,1
0,01-11-2023,09:27:00,1,0,0,0,0,0
0,01-11-2023,09:27:00,2,0,1,2,1,4
0,01-11-2023,09:27:00,3,0,0,0,0,0
0,01-11-2023,09:27:00,4,1,5,0,0,6
0,01-11-2023,09:28:00,1,0,0,0,0,0
0,01-11-2023,09:28:00,2,0,2,0,0,2
0,01-11-2023,09:28:00,3,4,3,0,0,7
0,01-11-2023,09:28:00,4,2,4,0,0,6
0,01-11-2023,09:29:00,1,0,0,0,0,0
0,01-11-2023,09:29:00,2,0,0,0,0,0
0,01-11-2023,09:29:00,3,1,2,0,2,5
0,01-11-2023,09:29:00,4,2,1,0,0,3
0,01-11-2023,09:30:00,1,0,0,0,0,0
0,01-11-2023,09:30:00,2,3,1,0,0,4
0,01-11-2023,09:30:00,3,1,1,0,1,3
0,01-11-2023,09:30:00,4,3,1,0,0,4
0,01-11-2023,09:31:00,1,0,1,0,0,1
0,01-11-2023,09:31:00,2,0,1,0,0,1
0,01-11-2023,09:31:00,3,1,0,0,1,2
0,01-11-2023,09:31:00,4,0,4,0,1,5
0,01-11-2023,09:32:00,1,0,0,0,0,0
0,01-11-2023,09:32:00,2,0,0,2,1,3
0,01-11-2023,09:32:00,3,0,3,0,1,4
0,01-11-2023,09:32:00,4,3,0,0,0,3
0,01-11-2023,09:33:00,1,0,3,0,0,3
0,01-11-2023,09:33:00,2,0,0,0,0,0
0,01-11-2023,09:33:00,3,0,2,0,0,2
0,01-11-2023,09:33:00,4,5,1,0,0,6
0,01-11-2023,09:34:00,1,0,0,0,0,0
0,01-11-2023,09:34:00,2,0,2,1,0,3
0,01-11-2023,09:34:00,3,0,0,0,0,0
0,01-11-2023,09:34:00,4,4,3,0,0,7
0,01-11-2023,09:35:00,1,0,0,0,0,0
0,01-11-2023,09:35:00,2,1,1,1,1,4
0,01-11-2023,09:35:00,3,1,1,0,0,2
0,01-11-2023,09:35:00,4,2,2,0,1,5
0,01-11-2023,09:36:00,1,0,0,0,0,0
0,01-11-2023,09:36:00,2,0,0,0,0,0
0,01-11-2023,09:36:00,3,3,0,1,0,4
0,01-11-2023,09:36:00,4,2,1,0,0,3
0,01-11-2023,09:37:00,1,0,0,0,0,0
0,01-11-2023,09:37:00,2,0,0,0,1,1
0,01-11-2023,09:37:00,3,0,0,0,1,1
0,01-11-2023,09:37:00,4,2,1,0,0,3
0,01-11-2023,09:38:00,1,0,0,0,0,0
0,01-11-2023,09:38:00,2,2,1,0,0,3
0,01-11-2023,09:38:00,3,0,1,0,1,2
0,01-11-2023,09:38:00,4,4,0,0,0,4
0,01-11-2023,09:39:00,1,0,0,0,0,0
0,01-11-2023,09:39:00,2,0,3,3,1,7
0,01-11-2023,09:39:00,3,0,1,0,1,2
0,01-11-2023,09:39:00,4,2,0,0,0,2
0,01-11-2023,09:40:00,1,0,0,0,0,0
0,01-11-2023,09:40:00,2,0,0,1,2,3
0,01-11-2023,09:40:00,3,1,1,0,0,2
0,01-11-2023,09:40:00,4,2,1,0,0,3
0,01-11-2023,09:41:00,1,1,0,0,0,1
0,01-11-2023,09:41:00,2,0,1,0,0,1
0,01-11-2023,09:41:00,3,2,1,0,0,3
0,01-11-2023,09:41:00,4,1,0,0,0,1
0,01-11-2023,09:42:00,1,0,0,0,0,0
0,01-11-2023,09:42:00,2,0,5,2,2,9
0,01-11-2023,09:42:00,3,0,1,0,0,1
0,01-11-2023,09:42:00,4,3,3,0,2,8
0,01-11-2023,09:43:00,1,3,0,0,0,3
0,01-11-2023,09:43:00,2,0,1,0,0,1
0,01-11-2023,09:43:00,3,2,0,0,0,2
0,01-11-2023,09:43:00,4,2,0,0,0,2
0,01-11-2023,09:44:00,1,0,1,0,0,1
0,01-11-2023,09:44:00,2,0,3,1,0,4
0,01-11-2023,09:44:00,3,0,1,0,1,2
0,01-11-2023,09:44:00,4,3,2,0,0,5
0,01-11-2023,09:45:00,1,0,0,0,0,0
0,01-11-2023,09:45:00,2,0,2,0,0,2
0,01-11-2023,09:45:00,3,1,1,0,0,2
0,01-11-2023,09:45:00,4,1,0,0,0,1
0,01-11-2023,09:46:00,1,1,0,0,0,1
0,01-11-2023,09:46:00,2,1,0,1,0,2
0,01-11-2023,09:46:00,3,1,2,0,1,4
0,01-11-2023,09:46:00,4,4,2,0,0,6
0,01-11-2023,09:47:00,1,0,0,0,0,0
0,01-11-2023,09:47:00,2,2,1,0,0,3
0,01-11-2023,09:47:00,3,0,0,0,0,0
0,01-11-2023,09:47:00,4,3,1,0,0,4
0,01-11-2023,09:48:00,1,0,0,0,0,0
0,01-11-2023,09:48:00,2,0,0,0,0,0
0,01-11-2023,09:48:00,3,0,1,0,0,1
0,01-11-2023,09:48:00,4,4,0,0,0,4
0,01-11-2023,09:49:00,1,0,0,0,0,0
0,01-11-2023,09:49:00,2,0,6,0,0,6
0,01-11-2023,09:49:00,3,0,0,0,2,2
0,01-11-2023,09:49:00,4,3,0,0,1,4
0,01-11-2023,09:50:00,1,0,2,0,0,2
0,01-11-2023,09:50:00,2,0,0,0,0,0
0,01-11-2023,09:50:00,3,2,0,0,1,3
0,01-11-2023,09:50:00,4,1,2,0,0,3
0,01-11-2023,09:51:00,1,1,1,0,0,2
0,01-11-2023,09:51:00,2,0,1,0,1,2
0,01-11-2023,09:51:00,3,1,2,1,0,4
0,01-11-2023,09:51:00,4,1,0,0,0,1
0,01-11-2023,09:52:00,1,0,0,0,0,0
0,01-11-2023,09:52:00,2,0,4,0,1,5
0,01-11-2023,09:52:00,3,2,4,0,0,6
0,01-11-2023,09:52:00,4,0,0,0,0,0
0,01-11-2023,09:53:00,1,0,0,0,0,0
0,01-11-2023,09:53:00,2,0,3,2,0,5
0,01-11-2023,09:53:00,3,1,4,0,0,5
0,01-11-2023,09:53:00,4,1,2,0,0,3
0,01-11-2023,09:54:00,1,2,0,0,0,2
0,01-11-2023,09:54:00,2,1,3,1,1,6
0,01-11-2023,09:54:00,3,1,0,0,0,1
0,01-11-2023,09:54:00,4,1,0,0,0,1
0,01-11-2023,09:55:00,1,1,0,0,0,1
0,01-11-2023,09:55:00,2,1,0,0,1,2
0,01-11-2023,09:55:00,3,0,0,0,0,0
0,01-11-2023,09:55:00,4,2,0,0,0,2
0,01-11-2023,09:56:00,1,0,1,0,0,1
0,01-11-2023,09:56:00,2,0,1,0,0,1
0,01-11-2023,09:56:00,3,2,0,1,2,5
0,01-11-2023,09:56:00,4,1,2,0,0,3
0,01-11-2023,09:57:00,1,1,0,0,0,1
0,01-11-2023,09:57:00,2,0,3,1,1,5
0,01-11-2023,09:57:00,3,1,0,0,0,1
0,01-11-2023,09:57:00,4,2,2,0,0,4
0,01-11-2023,09:58:00,1,0,0,0,0,0
0,01-11-2023,09:58:00,2,0,0,0,1,1
0,01-11-2023,09:58:00,3,0,1,0,0,1
0,01-11-2023,09:58:00,4,2,0,0,0,2
0,01-11-2023,09:59:00,1,0,0,0,0,0
0,01-11-2023,09:59:00,2,0,5,1,0,6
0,01-11-2023,09:59:00,3,1,0,0,0,1
0,01-11-2023,09:59:00,4,2,1,0,0,3
0,01-11-2023,10:00:00,1,0,0,0,0,0
0,01-11-2023,10:00:00,2,0,1,2,0,3
0,01-11-2023,10:00:00,3,0,1,0,0,1
0,01-11-2023,10:00:00,4,0,0,0,0,0
0,01-11-2023,10:01:00,1,0,0,0,0,0
0,01-11-2023,10:01:00,2,0,0,0,1,1
0,01-11-2023,10:01:00,3,0,1,0,0,1
0,01-11-2023,10:01:00,4,1,0,0,0,1
0,01-11-2023,10:02:00,1,0,0,0,0,0
0,01-11-2023,10:02:00,2,0,4,1,1,6
0,01-11-2023,10:02:00,3,1,1,0,1,3
0,01-11-2023,10:02:00,4,3,2,0,0,5
0,01-11-2023,10:03:00,1,0,0,0,0,0
0,01-11-2023,10:03:00,2,0,0,0,0,0
0,01-11-2023,10:03:00,3,1,0,0,0,1
0,01-11-2023,10:03:00,4,1,0,0,0,1
0,01-11-2023,10:04:00,1,0,0,0,0,0
0,01-11-2023,10:04:00,2,0,3,0,0,3
0,01-11-2023,10:04:00,3,1,2,1,0,4
0,01-11-2023,10:04:00,4,1,1,0,1,3
0,01-11-2023,10:05:00,1,1,0,0,0,1
0,01-11-2023,10:05:00,2,0,0,0,0,0
0,01-11-2023,10:05:00,3,0,1,0,0,1
0,01-11-2023,10:05:00,4,0,0,0,0,0
0,01-11-2023,10:06:00,1,0,0,0,0,0
0,01-11-2023,10:06:00,2,0,5,2,0,7
0,01-11-2023,10:06:00,3,0,0,0,0,0
0,01-11-2023,10:06:00,4,1,0,0,0,1
0,01-11-2023,10:07:00,1,0,0,0,0,0
0,01-11-2023,10:07:00,2,0,0,1,0,1
0,01-11-2023,10:07:00,3,1,1,0,0,2
0,01-11-2023,10:07:00,4,2,0,0,0,2
0,01-11-2023,10:08:00,1,0,0,0,0,0
0,01-11-2023,10:08:00,2,0,3,2,0,5
0,01-11-2023,10:08:00,3,1,2,0,3,6
0,01-11-2023,10:08:00,4,0,2,0,0,2
0,01-11-2023,10:09:00,1,0,0,0,0,0
0,01-11-2023,10:09:00,2,0,3,0,1,4
0,01-11-2023,10:09:00,3,0,1,0,0,1
0,01-11-2023,10:09:00,4,2,1,0,0,3
0,01-11-2023,10:10:00,1,0,0,0,0,0
0,01-11-2023,10:10:00,2,0,1,0,0,1
0,01-11-2023,10:10:00,3,0,3,0,1,4
0,01-11-2023,10:10:00,4,2,0,0,0,2
0,01-11-2023,10:11:00,1,0,0,0,0,0
0,01-11-2023,10:11:00,2,0,1,1,0,2
0,01-11-2023,10:11:00,3,1,2,0,2,5
0,01-11-2023,10:11:00,4,3,0,0,0,3
0,01-11-2023,10:12:00,1,0,0,0,0,0
0,01-11-2023,10:12:00,2,0,1,0,0,1
0,01-11-2023,10:12:00,3,0,1,0,0,1
0,01-11-2023,10:12:00,4,1,1,0,0,2
0,01-11-2023,10:13:00,1,0,1,0,0,1
0,01-11-2023,10:13:00,2,1,0,0,0,1
0,01-11-2023,10:13:00,3,5,2,0,0,7
0,01-11-2023,10:13:00,4,0,7,0,0,7
0,01-11-2023,10:14:00,1,0,0,0,0,0
0,01-11-2023,10:14:00,2,0,3,0,3,6
0,01-11-2023,10:14:00,3,0,4,0,0,4
0,01-11-2023,10:14:00,4,0,2,0,0,2
0,01-11-2023,10:15:00,1,0,0,0,0,0
0,01-11-2023,10:15:00,2,3,0,0,0,3
0,01-11-2023,10:15:00,3,1,1,0,1,3
0,01-11-2023,10:15:00,4,0,0,0,0,0
0,01-11-2023,10:16:00,1,0,0,0,0,0
0,01-11-2023,10:16:00,2,1,2,1,0,4
0,01-11-2023,10:16:00,3,3,1,0,0,4
0,01-11-2023,10:16:00,4,3,1,0,0,4
0,01-11-2023,10:17:00,1,1,0,0,0,1
0,01-11-2023,10:17:00,2,0,0,0,0,0
0,01-11-2023,10:17:00,3,2,1,0,0,3
0,01-11-2023,10:17:00,4,0,1,0,0,1
0,01-11-2023,10:18:00,1,0,0,0,0,0
0,01-11-2023,10:18:00,2,1,0,1,0,2
0,01-11-2023,10:18:00,3,2,1,0,0,3
0,01-11-2023,10:18:00,4,0,0,0,0,0
0,01-11-2023,10:19:00,1,0,0,0,0,0
0,01-11-2023,10:19:00,2,1,1,0,0,2
0,01-11-2023,10:19:00,3,1,1,0,0,2
0,01-11-2023,10:19:00,4,1,0,0,0,1
0,01-11-2023,10:20:00,1,0,1,0,0,1
0,01-11-2023,10:20:00,2,0,2,0,0,2
0,01-11-2023,10:20:00,3,1,0,0,0,1
0,01-11-2023,10:20:00,4,1,1,0,0,2
0,01-11-2023,10:21:00,1,1,0,0,0,1
0,01-11-2023,10:21:00,2,1,5,1,0,7
0,01-11-2023,10:21:00,3,1,0,0,0,1
0,01-11-2023,10:21:00,4,3,0,0,0,3
0,01-11-2023,10:22:00,1,0,0,0,0,0
0,01-11-2023,10:22:00,2,0,1,1,0,2
0,01-11-2023,10:22:00,3,2,1,0,0,3
0,01-11-2023,10:22:00,4,1,0,0,0,1
0,01-11-2023,10:23:00,1,0,0,0,0,0
0,01-11-2023,10:23:00,2,0,0,0,1,1
0,01-11-2023,10:23:00,3,1,2,0,1,4
0,01-11-2023,10:23:00,4,2,0,0,0,2
0,01-11-2023,10:24:00,1,0,0,0,0,0
0,01-11-2023,10:24:00,2,0,1,4,1,6
0,01-11-2023,10:24:00,3,0,0,0,2,2
0,01-11-2023,10:24:00,4,2,1,0,0,3
0,01-11-2023,10:25:00,1,0,1,0,0,1
0,01-11-2023,10:25:00,2,0,0,0,0,0
0,01-11-2023,10:25:00,3,2,1,0,0,3
0,01-11-2023,10:25:00,4,1,1,0,0,2
0,01-11-2023,10:26:00,1,0,0,0,0,0
0,01-11-2023,10:26:00,2,2,4,1,0,7
0,01-11-2023,10:26:00,3,0,0,0,0,0
0,01-11-2023,10:26:00,4,2,0,0,0,2
0,01-11-2023,10:27:00,1,0,0,0,0,0
0,01-11-2023,10:27:00,2,0,0,1,0,1
0,01-11-2023,10:27:00,3,1,0,0,0,1
0,01-11-2023,10:27:00,4,3,1,0,0,4
0,01-11-2023,10:28:00,1,0,0,0,0,0
0,01-11-2023,10:28:00,2,0,3,1,1,5
0,01-11-2023,10:28:00,3,4,1,1,1,7
0,01-11-2023,10:28:00,4,3,1,0,0,4
0,01-11-2023,10:29:00,1,0,0,0,0,0
0,01-11-2023,10:29:00,2,0,2,0,0,2
0,01-11-2023,10:29:00,3,0,0,1,0,1
0,01-11-2023,10:29:00,4,2,0,0,0,2
0,01-11-2023,10:30:00,1,0,1,0,0,1
0,01-11-2023,10:30:00,2,0,0,0,1,1
0,01-11-2023,10:30:00,3,3,0,0,1,4
0,01-11-2023,10:30:00,4,1,1,0,0,2
0,01-11-2023,10:31:00,1,0,1,0,0,1
0,01-11-2023,10:31:00,2,1,4,1,0,6
0,01-11-2023,10:31:00,3,2,2,0,1,5
0,01-11-2023,10:31:00,4,3,0,0,0,3
0,01-11-2023,10:32:00,1,0,0,0,0,0
0,01-11-2023,10:32:00,2,0,0,0,0,0
0,01-11-2023,10:32:00,3,0,0,0,1,1
0,01-11-2023,10:32:00,4,3,0,0,0,3
0,01-11-2023,10:33:00,1,0,1,0,0,1
0,01-11-2023,10:33:00,2,1,2,0,0,3
0,01-11-2023,10:33:00,3,4,1,0,1,6
0,01-11-2023,10:33:00,4,2,0,0,1,3
0,01-11-2023,10:34:00,1,0,1,0,0,1
0,01-11-2023,10:34:00,2,1,0,1,0,2
0,01-11-2023,10:34:00,3,1,0,0,0,1
0,01-11-2023,10:34:00,4,3,0,0,0,3
0,01-11-2023,10:35:00,1,0,0,0,0,0
0,01-11-2023,10:35:00,2,1,0,1,0,2
0,01-11-2023,10:35:00,3,3,1,0,4,8
0,01-11-2023,10:35:00,4,1,1,0,0,2
0,01-11-2023,10:36:00,1,0,1,0,0,1
0,01-11-2023,10:36:00,2,2,7,0,1,10
0,01-11-2023,10:36:00,3,0,0,0,0,0
0,01-11-2023,10:36:00,4,4,1,0,0,5
0,01-11-2023,10:37:00,1,0,0,0,0,0
0,01-11-2023,10:37:00,2,1,1,0,0,2
0,01-11-2023,10:37:00,3,0,0,0,0,0
0,01-11-2023,10:37:00,4,2,0,0,0,2
0,01-11-2023,10:38:00,1,0,0,0,0,0
0,01-11-2023,10:38:00,2,1,4,1,2,8
0,01-11-2023,10:38:00,3,1,4,0,2,7
0,01-11-2023,10:38:00,4,2,0,0,0,2
0,01-11-2023,10:39:00,1,0,0,1,0,1
0,01-11-2023,10:39:00,2,1,0,0,0,1
0,01-11-2023,10:39:00,3,0,0,0,0,0
0,01-11-2023,10:39:00,4,1,0,0,0,1
0,01-11-2023,10:40:00,1,0,0,0,0,0
0,01-11-2023,10:40:00,2,0,5,1,0,6
0,01-11-2023,10:40:00,3,0,2,0,3,5
0,01-11-2023,10:40:00,4,2,0,0,0,2
0,01-11-2023,10:41:00,1,0,0,0,0,0
0,01-11-2023,10:41:00,2,1,3,0,0,4
0,01-11-2023,10:41:00,3,2,0,0,0,2
0,01-11-2023,10:41:00,4,2,0,0,0,2
0,01-11-2023,10:42:00,1,0,0,0,0,0
0,01-11-2023,10:42:00,2,0,0,0,0,0
0,01-11-2023,10:42:00,3,0,1,0,2,3
0,01-11-2023,10:42:00,4,0,0,0,0,0
0,01-11-2023,10:43:00,1,0,0,0,0,0
0,01-11-2023,10:43:00,2,2,6,3,0,11
0,01-11-2023,10:43:00,3,0,0,0,1,1
0,01-11-2023,10:43:00,4,1,2,0,1,4
0,01-11-2023,10:44:00,1,0,1,0,0,1
0,01-11-2023,10:44:00,2,0,1,0,2,3
0,01-11-2023,10:44:00,3,1,0,0,0,1
0,01-11-2023,10:44:00,4,2,3,0,0,5
